name_1,name_2
New Vision Group,Uganda Securities Exchange
Ruparelia Group,Ruparelia Group of Companies
Ruparelia Group,"Dehli Public International School-Naguru, Kampala"
Ruparelia Group,Kampala International School Uganda
Ruparelia Group,Kampala Parents' School
Ruparelia Group,Kampala Speke Hotel - Kampala
Ruparelia Group,Meera Investments Limited - Kampala
Ruparelia Group,Munyonyo Commonwealth Resort - Munyonyo
Ruparelia Group,Premier Roses Limited - Entebbe
Ruparelia Group,Rosebud Limited - Entebbe
Ruparelia Group,Sanyu FM . - Kampala
Ruparelia Group,Speke Apartments Limited - Kampala
Ruparelia Group,Tourist Hotel  - Kampala
Ruparelia Group,Victoria University Uganda - Kampala
Tirupati Development Uganda Limited,Tirupati Group Limited
Tirupati Development Uganda Limited,List of conglomerates in Uganda
Tirupati Development Uganda Limited,List of conglomerates in Africa
Tirupati Development Uganda Limited,Kampala Capital City Authority
Tirupati Development Uganda Limited,Miraj Barot
Nass Corporation,Official website NASS The Group
Nass Corporation,Official website NASS Corporation BSC
Akij,Akij Group
Bashundhara Group,List of companies of Bangladesh
Bashundhara Group,Bashundhara Kings
Bashundhara Group,Bashundhara Kings Women
Beximco,The Beximco Group
Beximco,Beximco Jute Division
Beximco,Beximco Pharma
Beximco,Beximco Synthetics Ltd.
Beximco,Shinepukur Ceramics
Beximco,Beximco Petroleum Ltd.
Beximco,Beximco Power Company Ltd.
Beximco,Beximco Engineering Limited
Beximco,Bangladesh Online
Beximco,IFIC Bank
Beximco,Yellow
Beximco,The Independent
Beximco,Independent Television
Beximco,Akash DTH
Beximco,Beximco Computers Ltd.
Beximco,Dhaka Dynamites
Beximco,Bextrade Limited
Beximco,Beximco Securities Limited
Beximco,Beximco Communications Ltd. 
Beximco,The Westin Dhaka
Beximco,Shinepukur Cricket Club
Beximco,Giga Tech Ltd.
Beximco,Beximco Dhaka
Confidence Group,Confidence Group of Companies Limited
KDS Group,Apparel
KDS Group,Textiles
KDS Group,Apparel Trims & Packaging
KDS Group,Steel
KDS Group,Information & Communication Technologies
KDS Group,IT Training Services
KDS Group,Banking
KDS Group,Insurance
KDS Group,Investment Management
KDS Group,Shares and securities trading
KDS Group,Logistics & Shipping
KDS Group,Inland Container Depot
KDS Group,Real Estate Development
KDS Group,Other trading operations
M. M. Ispahani Limited,Ispahani Group
Orion Group ,Orion Group
Transcom Group,Transcom Group Limited
Beijing Enterprises,Beijing Enterprises Holdings Limited
Beijing North Star,Beijing North Star Company Limited
China Aerospace Science and Technology Corporation,CASC
China Merchants Group,China Merchants Group Limited
China Merchants Group,Chiwan Container Terminal Co. Ltd.
China Merchants Group,China Merchants Technology 
China Merchants Group,China Merchants Securities 
China Merchants Group,Hua Bei Expressway
China Merchants Group,International Marine Containers  Ltd.
China Metallurgical Group Corporation,MCC
China Metallurgical Group Corporation,China Metallurgical Group Corporation
China Poly Group Corporation,China Poly Group
China Poly Group Corporation,Poly Property
China Poly Group Corporation,Poly Real Estate
China Poly Group Corporation,Poly Technologies
China Poly Group Corporation,Poly Culture
China Poly Group Corporation,Poly Theatre
China Poly Group Corporation,Poly Auction
CIMC,China International Marine Containers
CIMC,Vanguard National Trailer Corporation
CITIC Group,CITIC Group Corporation Ltd.
CITIC Group,China International Trust Investment Corporation
CITIC Group,CITIC Trust
CITIC Group,CITIC Bank International
CITIC Group,CITIC Resources
CITIC Group,CITIC Construction
CITIC Group,CITIC Newedge
CITIC Group,CITIC Real Estate
CITIC Group,CITIC CapitalAmoy Food
CITIC Group,Amoy Food
CITIC Group,CITIC Metal Group
CITIC Group,CITIC press
COSCO,China COSCO Shipping Corporation Limited
COSCO,COSCO SHIPPING
COSCO,Dry bulk cargo shipping
COSCO,Information technology
COSCO,Integrated logistics business
COSCO,Specialized and general cargo transportation
COSCO,Vessel agency
COSCO,Tally
COSCO,Ship chartering
COSCO,Container leasing
COSCO,Non-shipping leasing
COSCO,COSCO SHIPPING Heavy Industry
Dalian Wanda Group,Wanda Group
Dalian Wanda Group, Dalian Wanda Group
Fosun International,IDERA 
Fosun International,Fosun Eurasia Capital 
Fosun International,Hauck & Aufhäuser 
Fosun International,Resolution Property 
Fosun International,Rio Bravo Investmentos 
Fosun International,Sanyuan Foods 
Fosun International,St Hubert 
Fosun International,Tsingtao Brewery 
Fosun International,Banco Comercial Português 
Fosun International,China Minsheng Bank 
Fosun International,Mybank 
Fosun International,Focus Media 
Founder Group,List of computer system manufacturers
Founder Group,Li Keqiang
Founder Group,Li Yuanchao
Guangxi Guitang Group,Guitang Group
Hasee,Shenzen Hasee Computer Official Website
Huawei,Femtocell
Huawei,Huawei G eLTE
Huawei,Lists of Chinese companies
Huawei,Nortel
Huawei,Crypto AG
Hytera,HYT
Hytera,Hytera's official United States website
Hytera,Hytera's official Europe website
JXD,JinXing Digital CO.Ltd
Legend Holdings,Legend Holdings Corporation
Legend Holdings,Legend Holdings Limited company website
Liaoning Chengda,Liaoning Chengda Company Limited
Maoye International,Maoye International Holdings Limited
Maoye International,Maoye
Nepstar,China Nepstar Chain Drugstore Ltd.
Nepstar,China Nepstar
Orient Group,"Orient Group Co., Ltd."
Orient Group,Orient Group Inc.
Ping An Bank,"Ping An Bank Co., Ltd."
Ping An Insurance,Ping An of China
Shanghai Industrial Holdings,Shanghai Industrial Holdings Limited
Shanghai Industrial Holdings,SIHL
Shougang Concord International,Shoucheng Holdings Limited
Sinochem Group,Sinochem Corporation
Sinomach,China National Machinery Industry Corporation
Tencent,Foxmail
Tencent,Pengyou
Tencent,QQ browser
Tencent,Qzone
Tencent,Tencent Maps
Tencent,Tencent QQ
Tencent,Tencent Video
Tencent,Tencent Weibo
Tianjin Development,Tianjin Development Holdings Limited
Tianjin Teda Company,"Tianjin TEDA Co., Ltd."
TP-Link,Official website
Yatai Group,Jilin Yatai Group Company Limited
Zhujiang Beer,Hong Kong Yongxin International Co
Zhujiang Beer,Share-controlled subsidiaries
Zhujiang Beer,"Shijiazhuang Zhujiang Brewery Co., Ltd"
Zhujiang Beer,"Zhanjiang Zhujiang Brewery Co., Ltd"
Zhujiang Beer,"Dongguan Zhujiang Brewery Co., Ltd"
Zhujiang Beer,"Zhongshan Zhujiang Brewery Co., Ltd"
Zhujiang Beer,"Guangzhou Xinye Advertising Co., Ltd"
Zhujiang Beer,"Guangzhou Rongxin Container Co., Ltd"
ZTE,MPLS routers
ZTE,Telephone switches
ZTE,legacy WAP and MMSC equipment
Chow Tai Fook Enterprises,Guangzhou CTF Finance Centre
Chow Tai Fook Enterprises,Tianjin CTF Finance Centre
CK Hutchison Holdings,Eversholt Rail Group
CK Hutchison Holdings,Australian Gas Networks
CK Hutchison Holdings,UK Power Networks
CK Hutchison Holdings,Northern Gas Networks
CK Hutchison Holdings,Northumbrian Water Group
CK Hutchison Holdings,Hutchison Water
CK Hutchison Holdings,Park 'N Fly Airport Parking
CK Hutchison Holdings,Wales & West Utilities
Dah Chong Hong,Dah Chong Hong Holdings Limited
First Pacific,First Pacific Company Limited
First Pacific,Goodman Fielder 
Jardine Matheson,Jardine Matheson Holdings Limited
Jardine Matheson,Jardines
Melco International Development,Melco International Development Limited
Melco International Development,Altira Macau 
Melco International Development,Morpheus
Melco International Development,Nüwa
Melco International Development,Studio City Macau 
Melco International Development,Mocha Clubs 
Melco International Development,City of Dreams Manila 
NWS Holdings,NWS Holdings Limited
NWS Holdings,Pacific Ports Company Limited
Swire Group,List of bottling companies
Swire Group,List of oilfield service companies
The Wharf ,The Wharf  Limited
The Wharf ,Wharf
China Resources,China Resources Holdings Company Limited
China Resources,CRC
CITIC Pacific,CITIC Limited
CITIC Pacific,CITIC Trust 
COSCO  Group,COSCO  Group Limited
Guangdong Investment,Guangdong Investment Limited
Action Group ,Action Shoes
Action Group ,Action Ispat
Action Group ,Action Chemicals
Action Group ,Action Tesa
Action Group ,Action Retail
Action Group ,Microtek Inverters
Action Group ,Pioneer Flex
Action Group ,Sunsity Projects
Aditya Birla Group,Birla Sun Life Asset Management
Ador Group,JB Advani Group
Ador Group,Official website
Alchemist Group,Alchemist group
Arvind ,Denim
Arvind ,Shirtings
Arvind ,Khakis
Arvind ,Knitwear
Arvind ,Voile
Arvind ,Garment exportsShirtsJeans
Arvind ,Shirts
Arvind ,Jeans
Arvind ,Flying Machine 
Arvind ,Newport
Arvind ,Quads
Arvind ,Ruf & Tuf
Arvind ,Excalibur
Arvind ,ls
Arvind ,Creyate
Arvind ,Arrow
Arvind ,Gap Inc.
Arvind ,Gant U.S.A.
Arvind ,Tommy Hilfiger
Arvind ,EdHardy
Arvind ,Izod
Arvind ,Cherokee
Arvind ,Mossimo
Arvind ,U.S. Polo Assn.
Arvind ,Nautica
Arvind ,Aeropostale
Arvind ,Advanced Materials Division
Arvind ,Agri
Arvind ,Telecommunications service provider
Arvind ,Engineering
Arvind ,Internet
Arvind ,Real estate
Arvind ,Mega Mart Retail
Arvind ,Environmental Solutions
Arvind ,Kasturbhai Lalbhai
Avantha Group,Gautam Thapar
Avantha Group,Karam Chand Thapar
Avantha Group,L. M. Thapar
Avantha Group,Thapar Group
Bajaj Group,Official website
Dharampal Satyapal Group,Dharampal Satyapal Group 
Enso Group,Vinay Maloo
Enso Group,Tour de India
Escorts Limited,Official website
Essel Group,Zee Group
Essel Group,Official website
Future Group,Future Generali Life Insurance
Future Group,Future Generali General Insurance
Future Group,Future Ventures
GMR Group,Ambala-Chandigarh 
GMR Group,Adloor - Pochanpalli 
GMR Group,Hyderabad - Vijayawada 
Indiabulls,Official website
India Today Group,India Today Television
India Today Group,Aaj Tak
India Today Group,Ishq . FM
India Today Group,Vasant Valley School
India Today Group,Care Today
ITC Limited,Official website 
Khoday Group,Khoday Group official site
Khoday Group,Khodays India Limited official site
Lanco Infratech,"Engineering, Procurement & Construction "
Lanco Infratech,Natural Resources - MINES
Lanco Infratech,Infrastructure
Landmark Group,Department store
Landmark Group,Micky Jagtiani
Landmark Group,Babyshop Stores
Mahindra Group,Aerospace
Max Group,Official website
Reliance Group,Reliance Infrastructure
Reliance Group,Mumbai Metro
Reliance Group,Reliance Roads
Reliance Group,Reliance Power
Reliance Group,Reliance Capital
Reliance Group,Reliance Naval and Engineering
Reliance Group,Reliance Defence
Reliance Group,Reliance Entertainment
Reliance Group,Kokilaben Dhirubhai Ambani Hospital
Reliance Group,Reliance Health Insurance Limited
Sakthi Group,ABT Info Systems
Sakthi Group,Sakthi Coffee Estates Private Limited
SUN Group,Official website
Tata Group,Infiniti Retail 
Tata Group,Landmark Bookstores
Tata Group,Star Bazaar
Tata Group,e-Nxt Financials Ltd.
Tata Group,TATA AIA Life Insurance
Tata Group,TATA AIG General Insurance
Tata Group,Tata Asset Management
Tata Group,Tata Capital
Tata Group,Tata Financial Services
Tata Group,JAMIPOL
Tata Group,NatSteel Holdings
Tata Group,Tata Bearings
Tata Group,Tata BlueScope Steel
Tata Group,Tata Metaliks
Tata Group,Tayo Rolls
Tata Group,Tata Sponge Iron
Tata Group,Tata Steel Europe
Tata Group,Tata Steel KZN
Tata Group,Tata Steel BSL
Tata Group,Tata Steel Processing and Distribution
Tata Group,The Tinplate Company of India
Tata Group,TM International Logistics
Thapar Group,Business Houses list
Thapar Group,Article on family division
Thapar Group,JCT electronics
Thapar Group,JCT textiles website
Thapar Group,KCT website
Thapar Group,Oriental Insurance
The Times Group,Publications of The Times Group
United Breweries Group,Fertilizer
United Breweries Group,Engineering
United Breweries Group,Aviation 
United Breweries Group,Alcohol
V H Group,Venkateshwara Hatcheries Pvt. Ltd.
V H Group,Venky's  Limited
V H Group,Venkateshwara B.V.Bio-Corp Pvt. Ltd.
V H Group,Uttara Impex Pvt. Ltd.
V H Group,Venky's Vietnam Ltd.
V H Group,Venky's Singapore Pvt. Ltd.
V H Group,VH Group Bangladesh
Videocon Group,Onida Electronics
Videocon Group,Moser Baer
Videocon Group,BPL Group
Videocon Group,Sansui Electric
VRL Group,Vijayavani E-paper
VRL Group,Vijayavani Advertisting
VRL Group,Courier in India
VRL Group,Indian Postal Service
Yash Birla Group,Birla Power
Yash Birla Group,Birla Infrasolutions Ltd
Yash Birla Group,Birla Precision Technologies Limited
Yash Birla Group,"Birla Transasia Carpets Ltd,"
Yash Birla Group,"Birla Perucchini Ltd,"
Yash Birla Group,Birla Electricals Ltd
Yash Birla Group,"Birla Lifestyle Ltd,"
Yash Birla Group,Birla Concepts  Pvt. Ltd
Yash Birla Group,"Birla Shloka Infotech Ltd,"
Yash Birla Group,Birla Cotsyn  Ltd
Yash Birla Group,Melstar Information Technologies
Bakrie Group,"Bentu PSC, Riau"
Bakrie Group,"Buzi EPCC, Mozambique"
Bakrie Group,"Gebang PSC, North Sumatra"
Bakrie Group,"Kangean PSC, East Java"
Bakrie Group,"Korinci Baru PSC, Riau"
Bakrie Group,"Malacca Strait PSC, Sumatra"
Bakrie Group,"Tonga PSC, Sumatra"
CT Corp,Para Group
CT Corp,PT Bank Mega Tbk
CT Corp,Mega Capital Sekuritas
CT Corp,PT Mega Finance
CT Corp,PT Mega Auto Finance
CT Corp,PT Mega Central Finance
CT Corp,CNBC Indonesia
CT Corp,SBS-in
CT Corp,PT Agranet Multicitra Siberkom 
CT Corp,HaiBunda.com
CT Corp,Insertlive.com
CT Corp,PT Trans Media Sosial 
CT Corp,PT Transinema Pictures 
CT Corp,PT Indonusa Telemedia 
CT Corp,PT AntaVaya Corporate Travel 
CT Corp,PT Vaya Micetama Servindo 
CT Corp,PT Trans Branded Outlet
CT Corp,PT Trans Burger 
CT Corp,PT Trans Ice 
CT Corp,PT Trans Retail Indonesia 
CT Corp,PT Trans Rekreasindo 
CT Corp,Index Living Mall
CT Corp,Transliving
CT Corp,PT Trans Groserindo Indonesia 
CT Corp,PT Trans Rekan Media
CT Corp,PT Trans Entertainment
CT Corp,PT Batam Indah Investindo
CT Corp,PT Mega Indah Propertindo
CT Corp,PT Para Bali Propertindo
CT Corp,Trans Park Juanda
CT Corp,Trans Park Mall Juanda
CT Corp,Trans Park Bintaro
CT Corp,Trans Park Lampung
CT Corp,Trans Park Kupang
CT Corp,The Trans Icon
CT Corp,Trans Park Jember
CT Corp,Trans Studio Bandung
CT Corp,Trans Studio Resort Bandung
CT Corp,The Trans Luxury Hotel
CT Corp,Ibis Trans Studio Hotel
CT Corp,Masjid Agung Trans Studio Bandung
CT Corp,Trans Studio Cibubur
CT Corp,Trans Studio Mall Cibubur
CT Corp,Trans Studio Resort Bali
CT Corp,Trans Snow World
CT Corp,Trans Studio Snow Town
CT Corp,Trans Studio Ski World
CT Corp,Trans Studio Bali
CT Corp,Trans Studio Mall Bali
CT Corp,The Trans Resort Bali
CT Corp,Fashion Hotel Legian
CT Corp,Trans Studio Makassar
CT Corp,Trans Studio Mall Makassar
CT Corp,Trans City
CT Corp,Gedung Trans TV
CT Corp,Menara Bank Mega
CT Corp,Wisma Trans Lifestyle
CT Corp,Graha Trans Coffee
CT Corp,PT Trans Oto Internasional-Station
CT Corp,-Station
CT Corp,PT Para Inti Energy
CT Corp,PT Para Energy Investindo
CT Corp,PT CT Agro
CT Corp,PT Kaltim CT Agro
CT Corp,PT Kalbar CT Agro
CT Corp,PT Kalteng CT Agro
CT Corp,PT Arah Tumata
CT Corp,PT Wahana Kutai Kencana
CT Corp,Duta Bangsa
CT Corp,SMA Unggulan CT Foundation
CT Corp,Yayasan Mitra Netra
CT Corp,Bukti ARSA
CT Corp,Chairul Tanjung 
CT Corp,BlackRock Inc. 
CT Corp,shareholder 
Elang Mahkota Teknologi,PT Elang Mahkota Teknologi Tbk
Elang Mahkota Teknologi,Emtek
Elang Mahkota Teknologi,SCTV
Elang Mahkota Teknologi,Indosiar
Elang Mahkota Teknologi,Vidio.com
Elang Mahkota Teknologi,Nex Parabola
Elang Mahkota Teknologi,Screenplay Films
Elang Mahkota Teknologi,Screenplay Infinite Films
Elang Mahkota Teknologi,SinemArt
Elang Mahkota Teknologi,Indonesia Entertainmen Studio
Elang Mahkota Teknologi,Indonesia Entertainmen Produksi
Elang Mahkota Teknologi,DreamToon
Elang Mahkota Teknologi,Digital Rantai Maya
Elang Mahkota Teknologi,Stream Entertainment
Elang Mahkota Teknologi,KapanLagi.com
Elang Mahkota Teknologi,Liputan.com
Elang Mahkota Teknologi,Bintang.com
Elang Mahkota Teknologi,Bola.com
Elang Mahkota Teknologi,Bola.net
Elang Mahkota Teknologi,Famous.id
Elang Mahkota Teknologi,Dream.co.id
Elang Mahkota Teknologi,Brilio.net
Elang Mahkota Teknologi,Fimela.com
Elang Mahkota Teknologi,Vemale.com
Elang Mahkota Teknologi,Merdeka.com
Elang Mahkota Teknologi,Otosia.com
Elang Mahkota Teknologi,Sooperboy.com
Elang Mahkota Teknologi,O ChannelO Shop
Elang Mahkota Teknologi,O Shop
Elang Mahkota Teknologi,Karir.com
Elang Mahkota Teknologi,Lakupon
Elang Mahkota Teknologi,Bukalapak
Elang Mahkota Teknologi,Rumah.com
Elang Mahkota Teknologi,Oto.com
Elang Mahkota Teknologi,Reservasi.com
Elang Mahkota Teknologi,HijUp
Elang Mahkota Teknologi,Bobobobo
Elang Mahkota Teknologi,BrideStory
Elang Mahkota Teknologi,Home Tester Club
Elang Mahkota Teknologi,Kudo
Elang Mahkota Teknologi,SuitMedia
Elang Mahkota Teknologi,Elang Sejahtera Mandiri
Elang Mahkota Teknologi,EDIK
Elang Mahkota Teknologi,Doku
Elang Mahkota Teknologi,Media Komunika TeknologiKlikDokter.comKlik-Apotek.com
Elang Mahkota Teknologi,KlikDokter.com
Elang Mahkota Teknologi,Klik-Apotek.com
Elang Mahkota Teknologi,Eye Indonesia
Harita Group,The Harita Group
Jawa Pos Group,Jawa Pos
Kalbe Farma,PT Kalbe Farma Tbk
Kompas Gramedia Group,Official Kompas Gramedia website
Kompas Gramedia Group,Official Warta Kota website
Mayapada Group,Bank Mayapada
Mayapada Group,PT Metropolitan Televisindo 
Mayapada Group,Guo Ji Ri Bao
Mayapada Group,PT Wahana Mediatama 
Mayapada Group,PT Elia Mediatama Indonesia 
Mayapada Group,PT Sompo Insurance Indonesia 
Mayapada Group,PT Agave Biomedi Investama 
Mayapada Group,Mayapada Tower 
Mayapada Group,The Grand Banua
Mayapada Group,Sky Pavilion
Mayapada Group,Mayapada Office Tower
Mayapada Group,Regent Bali Hotel and Residence
Mayapada Group,Fairmont Sanur Beach Bali
Mayapada Group,Mall Bali Galleria
Mayapada Group,PT Inti Dufree Promosindo 
Mayapada Group,Tahir Foundation
Rajawali Corpora,PT Meares Soputan Mining
Rajawali Corpora,PT Tambang Tondano Nusajaya
Rajawali Corpora,Eagle High Plantations
Rajawali Corpora,Fortune Indonesia
Rajawali Corpora,PT Internasional Prima Coal
Rajawali Corpora,PT Triaryani
Rajawali Corpora,Indo Mines
Rajawali Corpora,Rajawali Place 
Rajawali Corpora,St. Regis Jakarta 
Rajawali Corpora,St. Regis Bali Resort
Rajawali Corpora,St. Regis Langkawi
Rajawali Corpora,Four Seasons Jakarta
Rajawali Corpora,The Laguna Resort & Spa
Rajawali Corpora,The Westin Langkawi
Rajawali Corpora,Sheraton Senggigi Beach Resort
Rajawali Corpora,Sheraton Imperial Hotel
Rajawali Corpora,Novotel Lombok Resort
Rajawali Corpora,Rajawali Televisi
Rajawali Corpora,Velo Networks
Sinar Mas Group,Sinar Mas
Sinar Mas Group,PT SMART
Sinar Mas Group,PT Innovate Mas Indonesia
Sinar Mas Group,PT Smartfren Telecom Tbk 
Sinar Mas Group,PT Ahamobi Telecom Tbk 
Sinar Mas Group,PT The Univenus
Sinar Mas Group,PT Ekamas Fortuna
Sinar Mas Group,PT Purinusa Ekapersada
Defense Industries Organization,DIO
IDRO Group,IDRO
IDRO Group,Economy of Iran
IDRO Group,IMIDRO
IDRO Group,Industry of Iran
IDRO Group,International rankings of Iran
IDRO Group,Iranian automobile industry
IDRO Group,Iranian railway industry
IDRO Group,List of Iranian companies
IDRO Group,National Iranian Oil Company
IDRO Group,National Iranian Petrochemical Company
IDRO Group,Privatization in Iran
IDRO Group,Science and technology in Iran
IDRO Group,Privatization of the existing subsidiaries.
IDRO Group,Industrial Investment
IDRO Group,Management Development
IDRO Group,Automotive Industry
IDRO Group,Industrial Equipment Machinery
IDRO Group,Marine Industry
IDRO Group,Railway Industry
IDRO Group,Hi-Tech Industries Development
IDRO Group,General Contracting
IDRO Group,Health care
IDRO Group,Banking
Iran Electronics Industries,Integrated Electronics Industries
Iran Electronics Industries,IEI
Iran Electronics Industries,صنایع الکترونیک ایران
Iran Electronics Industries,صاایران
Maadiran Group,Maadiran group
Maadiran Group,Maadiran Property Development
Africa Israel Investments,Africa Israel Investments Ltd.
Delek,Delek Group
Delek,Gadot Biochemical Ltd.
Delek,Delek Energy 
International Metalworking Companies,IMC International Metalworking Companies B.V.
International Metalworking Companies,IMC Group
International Metalworking Companies,ISCAR Metalworking
International Metalworking Companies,TaeguTec
International Metalworking Companies,Tungaloy Corporation
International Metalworking Companies,Ingersoll Cutting Tools
Asahi Breweries,"Asahi Group Holdings, Ltd."
Asahi Kasei,Asahi Kasei Corporation
Asahi Kasei,KASEI
Asahi Kasei,Chemicals
Asahi Kasei,Polymer products
Asahi Kasei,Specialty chemicals
Asahi Kasei,Fibers
Asahi Kasei,Foundation systems
Asahi Kasei,Insulation materials
Asahi Kasei,AAC-related products
Asahi Kasei,Structural materials
Asahi Kasei,Order-built homes
Asahi Kasei,Real estate–related operations
Asahi Kasei,Building remodeling
Asahi Kasei,LSIs
Asahi Kasei,Clean energy materials
Asahi Kasei,Optical and printing materials
Asahi Kasei,Electronic materials
Asahi Kasei,Blood transfusion devices
Asahi Kasei,Blood purification devices
Asahi Kasei,Orthopedics and urology pharmaceuticals
Asahi Kasei,Diagnostic reagents
Asahi Kasei,Nutritional products
Bandai Namco Holdings,Bandai Namco Holdings Inc.
Bandai Namco Holdings,BNHD
Bandai Namco Holdings,Bandai Namco Group
Bandai Namco Holdings,Bandai S.A.
Bandai Namco Holdings,Bandai UK Ltd.
Bandai Namco Holdings,Bandai España S.A.
Bandai Namco Holdings,Bandai GmbH
Bandai Namco Holdings,Bandai Polska SP.ZO.O
Bandai Namco Holdings,"Bandai  Co., Ltd."
Bandai Namco Holdings,"Bandai Asia Co., Ltd."
Bandai Namco Holdings,"Bandai Korea Co., Ltd."
Bandai Namco Holdings,"Creative Works Co., Ltd."
Bandai Namco Holdings,"Bandai Taiwan Co., Ltd."
Bandai Namco Holdings,"Bandai South Asia Pte., Ltd."
Bandai Namco Holdings,"Bandai Industrial Co., Ltd."
Bandai Namco Holdings,Bandai America Inc.
Bandai Namco Holdings,Megahouse Corporation
Bandai Namco Holdings,"CCP Co., Ltd."
Bandai Namco Holdings,"Seeds Co., Ltd."
Bandai Namco Holdings,"Plex Co., Ltd."
Bandai Namco Holdings,"People Co., Ltd."
Bandai Namco Holdings,"Sun-Star Stationary Co., Ltd."
Bandai Namco Holdings,Fujiya Co.
Bandai Namco Holdings,Artpresto Co. Ltd.
Bandai Namco Holdings,Bandai Logipal Inc./Logipal Express Inc.
Bandai Namco Holdings,Bandai Namco Business Arc Inc.
Bandai Namco Holdings,Bandai Namco Will Inc.
Bandai Namco Holdings,Happinet
Bandai Namco Holdings,Kaikaya Limited
Bandai Namco Holdings,Sotsu
Bandai Namco Holdings,Namco Networks America Inc.
Hitachi,"Hitachi, Ltd."
Hitachi,Hitachi Group
Hitachi,Hitachi High-tech
Hitachi,Hitachi Automotive Systems
Hitachi,AircraftHitachi T.Hitachi TR.
Hitachi,Hitachi T.
Hitachi,Hitachi TR.
Hitachi,Aircraft EnginesHitachi Hatsukaze
Hitachi,Hitachi Hatsukaze
Hitachi,Projectors - Sold to Maxell
Hitachi,Personal computers - Ceased production
Hitachi,Batteries - Sold to Maxell
Hitachi,Wind turbines - Ceased production
Hitachi,Leasing
Hitachi,Loan guarantees
Hitachi,Consumer finance 
Hitachi,Business finance
Hitachi,Elevators
Hitachi,Escalators
Hitachi,Industrial machinery and plants
Hitachi,Hitachi A-train
Itochu,Itochu Corporation
Itochu,C. Itoh & Co.
Japan Post Holdings,"Japan Post Holdings Co., Ltd."
JX Holdings,"ENEOS Holdings, Inc."
Kadokawa Dwango,Kadokawa Corporation
Kadokawa Dwango,Kadokawa Dwango Corporation
Kadokawa Dwango,Asmik Ace
Kawasaki Heavy Industries,Kawasaki Heavy Industries Ltd.
Kawasaki Heavy Industries,KHI
Kawasaki Heavy Industries,"Alna Yusoki-Yohin Co., Ltd."
Kawasaki Heavy Industries,Benic Solution Corp.
Kawasaki Heavy Industries,"EarthTechnica Co., Ltd."
Kawasaki Heavy Industries,"Enetec Co., Ltd."
Kawasaki Heavy Industries,Fukae Powtec Corp.
